Number,Author,Title,Pages,Class Number,Class Name,Quarter,Year,Descriptors,Location
1,Bennett, Bruce,A time series of bacterial changes in egested Holthurian feces,,Oceanography 590b,Animal Microbe Sediment Relations,Summer,1988,,
2,Brumsickle, Steve,Oxygen depletion in Thalassinid mounds based on pore-water iron profiles,,Oceanography 590b,Animal Microbe Sediment Relations,Summer,1988,,
3,Gregg, Jack,Microphytobenthic production: significance to the carbon budget of San Fransisco Bay,,Oceanography 590b,Animal Microbe Sediment Relations,Summer,1988,,San Francisco Bay
4,Hentschel, Brian T.,High abundance of bacteria in lugworm feeding pockets: support for the gardening hypothesis,,Oceanography 590b,Animal Microbe Sediment Relations,Summer,1988,,
5,Ritzrau, Will,Increas of microbial activity rates caused by mechanical disturbance of intertidal sediments,,Oceanography 590b,Animal Microbe Sediment Relations,Summer,1988,,
6,Robertson, Charles,Assessing the gut microflora of Parastichopus californicus, an epibenthic, deposit-feeding Holothurian: evidence of a possible Spirilli endosymbiont,,Oceanography 590b,Animal Microbe Sediment Relations,Summer,1988,Parastichopus californicus,
7,Shimeta, Jeff,Food for benthic suspension feeders: suspended load in Lopez Sound and the role of migrating benthic diatoms,,Oceanography 590b,Animal Microbe Sediment Relations,Summer,1988,,Lopez Sound
8,Bantzer, Christian,Nonlinear interaction of orographic and thermal forcing in a shallow water model,,Oceanography 590b,Atmosphere Ocean Dynamics,Summer,1993,,
9,Chen, Ying-Quei,Optimal excitation of coupled atmosphere-ocean model SSTA,,Oceanography 590b,Atmosphere Ocean Dynamics,Summer,1993,,
10,Delworth, Thomas,Tracer transports in a quasi-geostrophic ocean model,,Oceanography 590b,Atmosphere Ocean Dynamics,Summer,1993,,
11,Freeman, Ion,An exploration of the development of instability in a global circulation model spun up from rest,,Oceanography 590b,Atmosphere Ocean Dynamics,Summer,1993,,
12,Hallberg, Robert,Simulations of buoyancy driven flow in a bowl shaped basin,,Oceanography 590b,Atmosphere Ocean Dynamics,Summer,1993,,
13,Holland, Marika,An examination of air-sea interaction using a simple atmosphere-ocean coupled model,,Oceanography 590b,Atmosphere Ocean Dynamics,Summer,1993,,
14,Jewson, Stephen,A radiative and advective climate box model,,Oceanography 590b,Atmosphere Ocean Dynamics,Summer,1993,,
15,Nitsche, Gregor,Analysis of the effects of mid-latitude shallow heating with a dry GCM,,Oceanography 590b,Atmosphere Ocean Dynamics,Summer,1993,,
16,Shermet, Vitalii,Axially symmetric circulation in the atmosphere and ocean,,Oceanography 590b,Atmosphere Ocean Dynamics,Summer,1993,,
17,Sutton, Rowan,Sensitivity of a model North Atlantic circulation to changes in the wind stress,,Oceanography 590b,Atmosphere Ocean Dynamics,Summer,1993,,
18,Wang, Jian,Studies of upper troposhpere response to localized heating,,Oceanography 590b,Atmosphere Ocean Dynamics,Summer,1993,,
19,Zhang, Yuan,Relationship between cloud cover and SST using a mixed-layer model,,Oceanography 590b,Atmosphere Ocean Dynamics,Summer,1993,,
20,Zhang, Jiawei,Study of antartic circumpolar current with a 3layer QG model,,Oceanography 590b,Atmosphere Ocean Dynamics,Summer,1993,,
21,Auger, Christopher B.|Breeze, Matthew J.,Comparitive toxicity of tributyltin- and copper-based antifouling paints on fertilization and development of Dendraster excentricus,,Botany 445|Zoology 430,Marine Botany/ Marine Zoology,Spring,1993,Dendraster excentricus,
22,Doney, Scott,Implementing a tracer scheme in a spectral 2-layer quasi-geostrophic model,,Oceanography 590b,Ocean Circulation,Summer,1990,,
23,Figueroa, Horacio,Shear dispersion of a passive tracer in oscillatory flows,,Oceanography 590b,Ocean Circulation,Summer,1990,,
24,Haine, Tom,Transient tracers in an eddy-resolving OG model,,Oceanography 590b,Ocean Circulation,Summer,1990,,
25,Winton, Michael,A 2-D height-latitude plane model with simple physics,,Oceanography 590b,Ocean Circulation,Summer,1990,,
26,Wiggert, Jerry,On the synthesis of an oceanic mixed layer model with a nitrogen based ecosystem model,,Oceanography 590b,Ocean Circulation,Summer,1990,,
27,Schiller, Andreas,Lagrangian floats in a quasi-geostrophic model,,Oceanography 590b,Ocean Circulation,Summer,1990,,
28,Robbins, Paul,Studies of atmospheric carbon dioxide concentrations using the HILDA box model,,Oceanography 590b,Ocean Circulation,Summer,1990,,
29,Paillard, Didier,2D meridional model,,Oceanography 590b,Ocean Circulation,Summer,1990,,
30,Ortiz, Joe,A long term simulation of F-11 and F-12 uptake by the near surface ocean,,Oceanography 590b,Ocean Circulation,Summer,1990,,
31,Mauritzen, Cicelia,Carbon and the HILDA model,,Oceanography 590b,Ocean Circulation,Summer,1990,,
32,Masumoto, Yukio,Simulation of the seasonal gas cycles in the upper ocean by use of the 1-D mixed layer model,,Oceanography 590b,Ocean Circulation,Summer,1990,,
33,Heinze, Christopher,An attempt to use radium-228 as a gyre tracer in a quasi-geostrophic model,,Oceanography 590b,Ocean Circulation,Summer,1990,,
34,Joos, Forunat,Studying transient tracers with the high-latitude exchange interior diffusion-advection (HILDA) model,,Oceanography 590b,Ocean Circulation,Summer,1990,,
35,McNamara, Sean,Lola: a simple model of the oxygen minimum of the Eastern Tropical South Atlantic,,Oceanography 590b,Ocean Circulation,Summer,1990,,
36,Andersen, Kristin,A distributional study of ten monosiphonous rhodophyta algae and the effectiveness of varied exposure to three environmental factors,12,Botany 445,,Spring,1982,Antithamnion defectum|Antithamnion dendroideum|Callithamnion acutum,
37,Aelion, M.C.,Effects of nutritional status and cell type on clearance rates of the marine copepod Pseudocalanus sp.,,Oceanography 533|Oceanography 534,Zooplankton Ecology Phytoplankton Ecology,Summer,1982,Pseudocalanus,
38,Kirk, Kevin L.,Estimates of the grazing rates of phagotrophic microflagellates on marine bacterioplankton,,Oceanography 533|Oceanography 534,Zooplankton Ecology Phytoplankton Ecology,Summer,1982,,
39,Miller, Carolyn,Ammonium excretion rates by Calanus pacificus in relation to food density,,Oceanography 533|Oceanography 534,Zooplankton Ecology Phytoplankton Ecology,Summer,1982,Calanus pacificus,
40,Peterman, Susan,Detritus as a food source: fecal pellet ingestion by the copepod, Acartia,,Oceanography 533|Oceanography 534,Zooplankton Ecology Phytoplankton Ecology,Summer,1982,Acartia,
41,Britting, Susan,An investigation of the size selective grazing of marine heterotrophic microflagellates on bacteria,,Oceanography 534,Experimental Plankton Ecology,Summer,1984,,
42,Campbell, E. J.|Hacker, S. D.,Feeding and egg production respone of Acartia clausii to a patchy food supply,,Oceanography 534,Experimental Plankton Ecology,Summer,1984,Acartia clausi,
43,Granata, Timothy C.,Characteristics of ammonium and phosphate excretion by Neocalanus plumchrus and implications on nutrient micropatches,,Oceanography 534,Experimental Plankton Ecology,Summer,1984,Neocalanus plumchrus,
44,Mulholland, Margie,The response of phytoplankton to the addition of leucine and glucose to a marine mesocosm,,Oceanography 534,Experimental Plankton Ecology,Summer,1984,,
45,Navaluna, Noli Ariel N.,Bacterial growth in particle-free seawater,,Oceanography 534,Experimental Plankton Ecology,Summer,1984,,
46,Sahlsten, Elisabeth,Kinetics of inorganic nitrogen uptake in natural plankton assemblages at increasing stages of nitrogen starvation,,Oceanography 534,Experimental Plankton Ecology,Summer,1984,,
47,Smith, David C.,Abundance and growth rate of bacteria associated with abandoned larvacean houses,,Oceanography 534,Experimental Plankton Ecology,Summer,1984,,
48,Traversay, Jean de,Does the copepod Calanus pacificus graze on epibacteria?,,Oceanography 534,Experimental Plankton Ecology,Summer,1984,Calanus pacificus,
49,Stewart, Cindy,A clam community in relation to human disturbance,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1979,,
50,Klein, Steven,Feeding habits and diet of Pseudopolydora kempi japonica and Rhynchospio arenincola,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1979,Pseudopolydora kempi japonica|Rhynchospio arenincola,
51,Wells, Jeff,Intertidal mites of San Juan Island,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1979,Trombidiformes|Mesostigmata|Oribatei,San Juan Island
52,Westman, Angela,Observations on feeding by the two-tentacled commensal hydroid Rhynchospio arenincola,,Botany 445|Zoology 430,Marine Algology Marine Zoology,Fall,1979,Rhynchospio arenincola,
53,Ahje, Holly,Electron microscopy or a pennate and centric diatom,,Botany 445,Marine Algology,Fall,1979,Navicula grevilleana|Melosira,
54,Ayers, Daniel L.,Scanning electron microscopy of two diatoms,,Botany 445,Marine Algology,Fall,1979,Biddulphia aurita|Grammatophora angulosa,
55,Denning, David,Structure of two marine epiphytic diatoms as revealed by scanning electron microscopy,,Botany 445,Marine Algology,Fall,1979,Isthmia nervosa|Gomphonema kamtschaticum,
